日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率
2020-01-01,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4524.72,4583.47,4524.72,4571.48,,1.55,22259527924.0,3050.46,,
2020-01-02,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4524.72,4583.47,4524.72,4571.48,,1.55,22259527924.0,3050.46,,
2020-01-03,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4582.75,4586.8,4552.92,4568.62,,-0.06,19066828946.0,2642.77,,
2020-01-06,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4546.28,4603.3,4541.61,4564.16,,-0.1,23780084749.0,3179.27,,
2020-01-07,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4572.55,4604.04,4572.55,4604.04,,0.87,20232425413.0,2617.73,,
2020-01-08,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4583.53,4594.2,4547.31,4554.89,,-1.07,23183596835.0,2810.37,,
2020-01-09,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4589.86,4616.93,4589.86,4616.93,,1.36,19394501614.0,2672.44,,
2020-01-10,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4628.44,4628.44,4597.1,4614.16,,-0.06,16201714580.0,2344.25,,
2020-01-13,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4620.05,4664.77,4607.92,4664.77,,1.1,17195492827.0,2612.16,,
2020-01-14,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4679.01,4685.52,4650.24,4650.24,,-0.31,18724131280.0,2614.5,,
2020-01-15,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4644.83,4655.12,4611.19,4631.12,,-0.41,16030293184.0,2258.11,,
2020-01-16,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4640.67,4640.67,4612.69,4617.91,,-0.28,15648185699.0,2226.14,,
2020-01-17,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4632.14,4642.91,4612.15,4621.53,,0.08,14872400458.0,2227.24,,
2020-01-20,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4639.85,4668.43,4627.72,4668.43,,1.02,17431905168.0,2714.63,,
2020-01-21,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4648.67,4648.67,4594.17,4594.17,,-1.59,17789397109.0,2681.73,,
2020-01-22,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4570.73,4634.26,4519.82,4623.69,,0.64,17896313109.0,2775.49,,
2020-01-23,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4580.35,4597.36,4440.1,4478.96,,-3.13,22215130106.0,3333.16,,
2020-02-03,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4078.42,4177.56,4078.42,4132.44,,-7.74,18294610057.0,2857.8,,
2020-02-04,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4087.76,4252.59,4087.76,4251.51,,2.88,28969897732.0,3817.89,,
2020-02-05,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4276.99,4348.35,4276.99,4316.92,,1.54,24464182396.0,3579.54,,
2020-02-06,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4327.26,4419.59,4318.58,4414.65,,2.26,25538425287.0,3716.01,,
2020-02-07,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4397.57,4423.36,4362.13,4423.36,,0.2,24779925038.0,3601.32,,
2020-02-10,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4401.1,4447.77,4392.65,4445.85,,0.51,24347055753.0,3479.25,,
2020-02-11,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4455.17,4489.81,4450.97,4470.36,,0.55,21113420540.0,3014.72,,
2020-02-12,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4460.8,4523.97,4460.8,4523.97,,1.2,20185825138.0,3032.14,,
2020-02-13,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4522.8,4531.22,4480.06,4492.56,,-0.69,21955438960.0,3355.59,,
2020-02-14,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4487.37,4531.71,4487.37,4508.89,,0.36,20660752154.0,3165.93,,
2020-02-17,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4519.94,4617.7,4519.94,4617.7,,2.41,24595685667.0,3587.23,,
2020-02-18,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4615.3,4630.59,4579.1,4619.01,,0.03,24967029583.0,3605.72,,
2020-02-19,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4612.18,4641.32,4595.28,4599.99,,-0.41,25788671045.0,3846.6,,
2020-02-20,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4615.25,4697.73,4611.19,4697.73,,2.13,27449329308.0,4056.48,,
2020-02-21,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4689.73,4742.37,4689.73,4721.95,,0.52,29412989526.0,4391.88,,
2020-02-24,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4708.08,4738.24,4679.62,4723.18,,0.03,31286022619.0,4736.61,,
2020-02-25,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4641.61,4726.74,4611.51,4722.04,,-0.02,36037977637.0,5430.26,,
2020-02-26,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4657.89,4706.26,4634.28,4636.17,,-1.82,36545873742.0,5119.1,,
2020-02-27,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4653.29,4684.83,4634.99,4651.52,,0.33,27528815604.0,4102.36,,
2020-02-28,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4526.69,4574.48,4461.91,4464.31,,-4.03,32461600430.0,4559.31,,
2020-03-02,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,4504.15,4634.77,4504.15,4610.67,,3.28,29991183164.0,4225.55,,
