ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000922.CSI,20260824,5653.4024,5592.0447,5663.96,5588.0978,5579.3428,74.0596,1.3274,64187087.26,70267436.852
000922.CSI,20260821,5579.3428,5576.1585,5593.6727,5555.7781,5585.0951,-5.7523,-0.103,48377917.06,53740931.873
000922.CSI,20260820,5585.0951,5528.7509,5611.2751,5528.3367,5553.3329,31.7622,0.5719,55619579.81,57954778.276
000922.CSI,20260819,5553.3329,5548.3813,5579.4192,5535.0174,5534.8334,18.4995,0.3342,67646825.45,73041853.371
000922.CSI,20260818,5534.8334,5502.8047,5546.0112,5497.3886,5500.0632,34.7702,0.6322,49336296.14,52782115.921
000922.CSI,20260817,5500.0632,5483.0083,5501.6017,5453.5467,5478.3945,21.6687,0.3955,41970878.3,45527562.0
000922.CSI,20260814,5478.3945,5456.978,5491.7606,5432.3154,5464.4234,13.9711,0.2557,42479049.31,45034523.107
000922.CSI,20260813,5464.4234,5497.8805,5509.5114,5458.9078,5513.6822,-49.2588,-0.8934,48975695.97,51808273.92
000922.CSI,20260812,5513.6822,5520.7662,5541.3919,5497.8208,5531.3096,-17.6274,-0.3187,46345452.81,50047102.564
000922.CSI,20260811,5531.3096,5577.5507,5593.9876,5526.5433,5561.232,-29.9224,-0.5381,50231472.92,58827857.741
000922.CSI,20260810,5561.232,5496.737,5578.8836,5492.1523,5506.753,54.479,0.9893,52142815.28,56996869.523
000922.CSI,20260807,5506.753,5505.6065,5520.4446,5471.0447,5513.6663,-6.9133,-0.1254,56095315.17,59969426.369
000922.CSI,20260806,5513.6663,5452.5165,5529.8812,5433.5491,5447.9752,65.6911,1.2058,63854702.3,66181183.026
000922.CSI,20260805,5447.9752,5449.8169,5465.0102,5415.1232,5459.3401,-11.3649,-0.2082,65814256.5,65647589.012
000922.CSI,20260804,5459.3401,5544.2203,5545.0113,5442.6247,5549.1553,-89.8152,-1.6185,68872354.46,68452472.379
000922.CSI,20260803,5549.1553,5544.0333,5601.3634,5540.989,5569.4095,-20.2542,-0.3637,66576039.32,69181596.806
000922.CSI,20260731,5569.4095,5509.5615,5579.3532,5478.9039,5579.5974,-10.1879,-0.1826,80581584.25,81544046.167
000922.CSI,20260730,5579.5974,5516.5916,5583.0014,5516.3258,5519.1242,60.4732,1.0957,74388361.97,76656964.129
000922.CSI,20260729,5519.1242,5442.351,5536.8951,5439.8242,5437.9221,81.2021,1.4933,63222536.46,66420296.38
000922.CSI,20260728,5437.9221,5407.2207,5442.4919,5365.2818,5433.9958,3.9263,0.0723,61713590.02,62497401.131
000922.CSI,20260727,5433.9958,5377.7666,5446.8588,5363.3446,5404.2835,29.7123,0.5498,56512499.21,57957038.858
000922.CSI,20260724,5404.2835,5495.4401,5513.6841,5403.7703,5505.6897,-101.4062,-1.8418,53739635.89,60203162.408
000922.CSI,20260723,5505.6897,5429.5354,5508.9972,5420.6057,5452.5882,53.1015,0.9739,53081637.2,61037583.415
000922.CSI,20260722,5452.5882,5378.637,5452.5882,5342.7648,5391.0897,61.4985,1.1407,64921023.23,72597832.899
000922.CSI,20260721,5391.0897,5434.9261,5501.5563,5377.1512,5450.5115,-59.4218,-1.0902,87388035.36,92506936.51
000922.CSI,20260720,5450.5115,5297.871,5450.5115,5297.871,5281.8147,168.6968,3.1939,90113174.08,93257592.847
000922.CSI,20260717,5281.8147,5312.2988,5362.0897,5280.408,5321.0747,-39.26,-0.7378,74763544.6,73704308.951
000922.CSI,20260716,5321.0747,5357.8567,5403.0441,5304.3884,5378.8412,-57.7665,-1.074,54463709.4,54972461.992
000922.CSI,20260715,5378.8412,5286.751,5384.2092,5271.8162,5307.4975,71.3437,1.3442,62772154.41,67460194.272
000922.CSI,20260714,5307.4975,5195.8297,5312.2475,5195.8297,5198.1145,109.383,2.1043,67167695.55,69684948.938
000922.CSI,20260713,5198.1145,5170.8068,5221.8779,5149.402,5184.0974,14.0171,0.2704,65199976.26,63737128.463
000922.CSI,20260710,5184.0974,5169.1718,5215.1846,5139.2901,5200.4369,-16.3395,-0.3142,53304870.61,54470435.427
000922.CSI,20260709,5200.4369,5239.8932,5242.1257,5184.149,5264.7879,-64.351,-1.2223,51526911.95,51823030.422
000922.CSI,20260708,5264.7879,5231.8424,5311.1382,5210.6979,5239.3719,25.416,0.4851,53952139.75,53160984.934
000922.CSI,20260707,5239.3719,5313.8705,5319.9041,5216.5595,5314.9215,-75.5496,-1.4215,52807663.91,52044061.557
000922.CSI,20260706,5314.9215,5198.1513,5320.5215,5179.1471,5207.4591,107.4624,2.0636,60770959.5,62503729.696
000922.CSI,20260703,5207.4591,5168.939,5228.7495,5168.3693,5154.9399,52.5192,1.0188,54485189.96,57531196.476
000922.CSI,20260702,5154.9399,5104.7822,5185.2626,5103.0986,5108.2124,46.7275,0.9148,60095257.21,62877839.22
000922.CSI,20260701,5108.2124,5015.7812,5133.6193,5004.0313,5022.4598,85.7526,1.7074,54022508.76,57078190.623
000922.CSI,20260630,5022.4598,5103.914,5104.4617,4995.4854,5120.7122,-98.2524,-1.9187,61235757.07,58883911.218
000922.CSI,20260629,5120.7122,5083.7063,5125.791,4998.1484,5085.7304,34.9818,0.6878,61767670.28,61490935.426
000922.CSI,20260626,5085.7304,5196.0311,5196.0311,5085.171,5198.5078,-112.7774,-2.1694,58366304.92,60627737.459
000922.CSI,20260625,5198.5078,5229.9713,5272.2431,5191.0737,5262.823,-64.3152,-1.2221,60891979.83,67511386.583
000922.CSI,20260624,5262.823,5340.8526,5340.8526,5252.2542,5342.6871,-79.8641,-1.4948,63456294.44,65764450.019
000922.CSI,20260623,5342.6871,5362.7041,5422.4865,5329.6632,5373.3271,-30.64,-0.5702,68692602.76,72928035.072
000922.CSI,20260622,5373.3271,5302.5895,5375.6392,5243.1119,5316.6517,56.6754,1.066,67787868.76,76013600.96
000922.CSI,20260618,5316.6517,5410.3679,5412.8741,5314.6443,5434.1544,-117.5027,-2.1623,64912176.66,71648668.665
