ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
H00922.CSI,20260821,12077.7314,,,,12086.2119,-8.4805,-0.0702,,
H00922.CSI,20260820,12086.2119,,,,12017.4779,68.734,0.572,,
H00922.CSI,20260819,12017.4779,,,,11977.4449,40.033,0.3342,,
H00922.CSI,20260818,11977.4449,,,,11902.2017,75.2432,0.6322,,
H00922.CSI,20260817,11902.2017,,,,11855.3104,46.8913,0.3955,,
H00922.CSI,20260814,11855.3104,,,,11825.0769,30.2335,0.2557,,
H00922.CSI,20260813,11825.0769,,,,11928.985,-103.9081,-0.8711,,
H00922.CSI,20260812,11928.985,,,,11967.1222,-38.1372,-0.3187,,
H00922.CSI,20260811,11967.1222,,,,12031.8602,-64.738,-0.5381,,
H00922.CSI,20260810,12031.8602,,,,11908.815,123.0452,1.0332,,
H00922.CSI,20260807,11908.815,,,,11923.7656,-14.9506,-0.1254,,
H00922.CSI,20260806,11923.7656,,,,11781.7031,142.0625,1.2058,,
H00922.CSI,20260805,11781.7031,,,,11806.2805,-24.5774,-0.2082,,
H00922.CSI,20260804,11806.2805,,,,12000.5135,-194.233,-1.6185,,
H00922.CSI,20260803,12000.5135,,,,12041.6815,-41.168,-0.3419,,
H00922.CSI,20260731,12041.6815,,,,12059.1219,-17.4404,-0.1446,,
H00922.CSI,20260730,12059.1219,,,,11919.9551,139.1668,1.1675,,
H00922.CSI,20260729,11919.9551,,,,11744.5784,175.3767,1.4933,,
H00922.CSI,20260728,11744.5784,,,,11731.0439,13.5345,0.1154,,
H00922.CSI,20260727,11731.0439,,,,11666.9003,64.1436,0.5498,,
H00922.CSI,20260724,11666.9003,,,,11875.1989,-208.2986,-1.7541,,
H00922.CSI,20260723,11875.1989,,,,11760.6645,114.5344,0.9739,,
H00922.CSI,20260722,11760.6645,,,,11621.1479,139.5166,1.2005,,
H00922.CSI,20260721,11621.1479,,,,11748.6368,-127.4889,-1.0851,,
H00922.CSI,20260720,11748.6368,,,,11385.0089,363.6279,3.1939,,
H00922.CSI,20260717,11385.0089,,,,11455.8511,-70.8422,-0.6184,,
